Platform,Video ID,Video URL,Title,Description,Upload Date,Views,Likes,Comments,Engagement Rate (%),Like-to-View Ratio (%),Comment-to-View Ratio (%),Duration (sec),Transcript,Hook Type,CTA Type,Script Framework Type,Title Sentiment
YouTube,F4dIxethVAY,https://www.youtube.com/watch?v=F4dIxethVAY,🤣🤪 Bad Day in Women's Sports #shorts,"🤣🤪 Bad Day in Women's Sports * Bad Day in Women's Sports * Funny moments in women's sports * Best moments in women's sports * Funny moments in women's athletics * Best comedy moments in women's sports * Comedy & cute moments in women's sports * Funny moments in women's sports hot * Women's sports most embarrassing moments * women's sports crazy moments * Must see funniest moments in women's sports * Comedy moments in women's athletics * Really BAD DAY in Women's Sports * BAD DAY ? Better Watch This Embarrassing Moments

People Having A Really Bad Day * People Having A Bad Day In Sports * People Having A Bad Day In Women's Sports * Bad Day in Women's * Funniest moments in women's sports * Funny female sports * Best moments in women's sports * Funny moments women's sports * Funny women's sports * Funny women's sports fails * Funniest moments in women's sports * Funny woman athlete * Women's sports funny * Moments in women's sports * Fails in women's sports

Funniest moments in athlete * Funny fails moments in women's athletics * Funny moments in female sports * Most WTF moments in women's sports * Funniest moments in women's sports * Funny moments in women's gymnastic * Crazy moments in women's sports * Epic moments in women's sports * Epic moments in women's athletics * Funniest moments in sports sports * funniest moments in athlete shorts * Most funniest moments in athlete sports shorts

1 in a million moments in women's sports * 1 in a million moments in women's athletics * gymnastic funny moments in sports * Women's athlete funny moments * Women's sports funniest moments in athlete * Women's athlete Best moments * Funny moments in women's pole vaulter athlete * Funny moments in sports shorts * Funny moments in women's sports shorts * Funniest moments in women's sports sports * Beautiful women's sports 

If you liked the video, don't forget to leave a like and subscribe for more daily content 🤪❤️ 

#sports 
#shorts 
#bestmoments 
#skills   
#athletics  
#athlete  
#highjump 
#soccer  
#sports 
#shortvideo   
#women  
#funnysports  
#sportscomedy  
#bestsports  
#beautifulmoments",2023-05-05T13:11:15Z,125782852,1839526,8270,1.47,1.46,0.01,25,foreign [Music] foreign,general,none,general,-0.7
YouTube,sX6jSHZhvaE,https://www.youtube.com/watch?v=sX6jSHZhvaE,baby Mookie Love👶🏻 #funny #shorts #newborn,,2025-06-03T12:24:06Z,204645005,2123335,6206,1.04,1.04,0.0,54,"Ice cream. Ice cream. I just dream you and I had to say goodbye. And I don't know what it means. So my ice cream. New ice cream. is promised. So I'mma love you. special ice cream. Sorry, daddy. Mommy, love you.",general,none,general,0.25
YouTube,sxmTTS4qros,https://www.youtube.com/watch?v=sxmTTS4qros,Trying not to laugh! 🤣🤣 (4k memes) #shorts.  click the blue Join button to support my animations,"Join channel membership to access perks and also support my animations 😁😁
use this link 👇
https://www.youtube.com/channel/UCOicc9kd58k_XR3D7bTx8oA/join


animations, memes, 4k memes, viral, laughs, cringe, funny videos, fyp, foryou, best video
best of Rico animations, viral TikTok compilation, funny videos, funny animations, cringe videos, cringe funny, best videos on TikTok, YouTube most searched videos, trending animations videos, funny memes on YouTube, trending memes",2023-06-06T13:57:49Z,148384373,4244924,33063,2.88,2.86,0.02,9,N/A,general,none,general,0.188
YouTube,zwMEhBq4kYM,https://www.youtube.com/watch?v=zwMEhBq4kYM,Funny Watermelon Prank 🤣 #shorts #short #viralvideos #viralshort #funny #youtubeshorts #shortsfeed,,2024-09-07T19:23:43Z,132695924,2156113,7779,1.63,1.62,0.01,20,it's a prank it's a prank to get the bigger piece of watermelon here it's a watermelon oh yes I hate seeds wait let's trade there you go a yes hey wait a minute wait a minute trade back,general,none,general,0.167
YouTube,Z8QOH8a5_7M,https://www.youtube.com/watch?v=Z8QOH8a5_7M,PAPA BAIK BAGI PERMEN GUMMY VIRAL KARAKTER 🦆 Mami Jadi Bebek #shorts #permenviral,,2023-03-25T03:02:49Z,123444449,1375865,1021,1.12,1.11,0.0,46,N/A,general,none,general,0.0
YouTube,AXnW8UB0hpo,https://www.youtube.com/watch?v=AXnW8UB0hpo,Sundae funday 😍#shorts#youtubeshorts#cutebaby#icecream#love#shortsfeed#viral#video,,2024-07-07T04:41:06Z,160699939,995829,708,0.62,0.62,0.0,6,N/A,general,none,general,0.0
YouTube,78VU6AVCqwg,https://www.youtube.com/watch?v=78VU6AVCqwg,Ahora se lo Come 🤣 #shorts,,2024-03-05T23:51:53Z,115812458,3440493,8497,2.98,2.97,0.01,58,N/A,general,none,general,0.0
YouTube,knk4bihQuFU,https://www.youtube.com/watch?v=knk4bihQuFU,Smart Baby Mookie 👶🏻#funny #shorts #newborn #squidgame,,2025-06-02T13:29:21Z,206412085,1825227,4173,0.89,0.88,0.0,48,N/A,general,none,general,0.214
YouTube,Ue3uQFA6mJY,https://www.youtube.com/watch?v=Ue3uQFA6mJY,The traitor 😭 #shorts by Tsuriki Show,"Thank you for watching.
Subscribe to Tsuriki Show!

More about us in Instagram https://instagram.com/twiceofnice

And a huge number of Short videos with Vova and Anya in our Tik Tok https://vm.tiktok.com/ZMeke4LVv/

#tsurikishow #vovanya",2021-10-30T05:50:00Z,109964169,2179100,4053,1.99,1.98,0.0,45,[Music] um [Music] [Music] oh [Music],general,none,general,0.0
YouTube,TwAPSdD0eNA,https://www.youtube.com/watch?v=TwAPSdD0eNA,POV: Cuando te PICA un MOSQUITO...🦟😡 #humor #comedia #shorts,,2024-08-29T20:02:01Z,118753243,1606428,5269,1.36,1.35,0.0,50,N/A,general,none,general,0.0
YouTube,-INDBT3QdCY,https://www.youtube.com/watch?v=-INDBT3QdCY,amaira and anaya kha phoch gyi😂😂#amairagurjar #shorts,,2024-03-17T08:28:30Z,142881790,1104520,780,0.77,0.77,0.0,8,N/A,general,none,general,0.0
YouTube,a2vJLW0ZkX0,https://www.youtube.com/watch?v=a2vJLW0ZkX0,Sagawa1gou funny video 😂😂😂 | SAGAWA Best Shorts 2022 #shorts,,2022-08-09T08:30:01Z,115278878,1388360,6308,1.21,1.2,0.01,8,there's a heart in my brain,general,none,general,0.625
YouTube,J0iIQ629N2c,https://www.youtube.com/watch?v=J0iIQ629N2c,Most Popular Candies Platter #shorts #short #asmr #platter #candy #nerds #starburst #candyfunhouse,,2023-06-10T15:00:11Z,95114138,1674956,5346,1.77,1.76,0.01,20,foreign [Music],general,none,general,0.367
YouTube,lxJGvwexD0s,https://www.youtube.com/watch?v=lxJGvwexD0s,How To Stop A Greyhound Race! #shorts,"This guy has the most critical job at a greyhound race! When the final lap comes, it's his responsibility to trick the dogs to stop chasing the lure. He's gotta act quick as the hounds are coming around the corner at up to 45 miles per hour!

#archiveaeon #technology #innovation #interestingfacts

Video music:
Monkeys Spinning Monkeys by Kevin MacLeod http://incompetech.com
Creative Commons — Attribution 4.0 International — CC BY 4.0
Free Download / Stream: https://www.audiolibrary.com.co/kevin...
Music promoted by Audio Library https://www.youtube.com/watch?v=GQCoV1TarO4&t=0s",2025-04-28T19:01:30Z,208990106,2749141,6605,1.32,1.32,0.0,18,"This guy has the most critical job at a Greyhound race because when the final lap comes, it's his responsibility to trick the dogs into stopping their chase after the lure. And he's got to act quick as the hounds are coming around the corner at up to 45 mph. Thanks to him, the dogs don't have to count the remaining laps themselves.",general,none,general,0.0
YouTube,3rZSOj9VTbw,https://www.youtube.com/watch?v=3rZSOj9VTbw,Mystery Grape Dessert Challenge! Which grape dessert is your favorite? #shorts,"🍩チャンネル登録はこちら
Please subscribe!
https://bit.ly/3jiuc7C

🎶TikTok
https://vt.tiktok.com/ZSJphEdFo/

📷Instagram
https://www.instagram.com/letsquuu",2023-01-11T08:00:02Z,83904948,1023661,0,1.22,1.22,0.0,47,wow [Music] [Music] [Music] friends [Music] [Music] laughs,general,none,general,0.5
YouTube,8IxQxmhsLrI,https://www.youtube.com/watch?v=8IxQxmhsLrI,While the baby is sleeping 🥴😵‍💫 LeoNata family #shorts,,2025-03-05T15:00:16Z,92532878,1246402,2675,1.35,1.35,0.0,35,la la la la la la la la la la la la la la la la la la la la Mommy la [Music],general,none,general,0.0
YouTube,PhVQWwjZn54,https://www.youtube.com/watch?v=PhVQWwjZn54,She kissed me 🙈 don’t miss the end 🫣 #trending #shorts #catchysmells #itmaaz #perfumer #kissme,,2025-06-17T11:14:18Z,147030460,2180153,3663,1.49,1.48,0.0,61,N/A,general,none,general,0.0
YouTube,P5JkYHXbk4g,https://www.youtube.com/watch?v=P5JkYHXbk4g,ห้ามใช้ช้อนพลาสติก! กินข้าว #food #shorts,,2024-06-03T13:48:27Z,78970210,1258293,4016,1.6,1.59,0.01,18,N/A,general,none,general,0.0
YouTube,sGttUdEhpDQ,https://www.youtube.com/watch?v=sGttUdEhpDQ,¿ #sabiasque ? 🐻👧🏼 #mashayeloso #triste #shorts,,2024-02-07T00:42:47Z,73697530,1926032,3752,2.62,2.61,0.01,44,N/A,general,none,general,0.0
YouTube,SZ2pLNTXFsw,https://www.youtube.com/watch?v=SZ2pLNTXFsw,kabi kesi ke sath bura salook na kare #emotional #comedy #funny #shorts #viralvideo #trending,,2025-01-20T04:30:21Z,96082820,1381401,492,1.44,1.44,0.0,55,N/A,general,none,general,0.125
YouTube,Nnb_DQ1erik,https://www.youtube.com/watch?v=Nnb_DQ1erik,THAT SCHOOL FLEX #shorts #school #schoollife #friends #friendship #flex #style #savage #funny #train,,2025-02-11T06:28:51Z,94900223,1504283,2117,1.59,1.59,0.0,35,N/A,general,none,general,0.25
YouTube,gyhXMlxdL4A,https://www.youtube.com/watch?v=gyhXMlxdL4A,O Antava Oo Antava#Kritikachannel#Shorts funny video,,2025-02-03T13:38:35Z,129017785,839825,3455,0.65,0.65,0.0,9,N/A,general,none,general,0.25
YouTube,4MY1aKyFw0k,https://www.youtube.com/watch?v=4MY1aKyFw0k,Ăn xúc xích từ bé đến to #shorts,"#shorts #mukbang #tungtungtungsahur 
Ăn xúc xích từ bé đến to theo phong cách Tung tung sahur",2025-05-22T14:00:14Z,132769485,839464,995,0.63,0.63,0.0,19,N/A,general,none,general,0.0
YouTube,Z2QqtkasThs,https://www.youtube.com/watch?v=Z2QqtkasThs,The WEIRDEST PENS in the world🫣 #unboxing #funny #beauty #haul #shorts,,2025-04-01T09:27:52Z,109907977,931164,1860,0.85,0.85,0.0,30,N/A,general,none,general,0.25
YouTube,X7CpHnSJwts,https://www.youtube.com/watch?v=X7CpHnSJwts,@Sanchita bashu #viralshorts #youtube #viral #shorts video,"#sanchitabashu 
#firstdayfirstshow 
#viralshorts 
#youtube 
#shorts",2022-10-10T11:57:16Z,65436634,1384758,14683,2.14,2.12,0.02,9,N/A,general,none,general,0.0
YouTube,6_c_PIddYaw,https://www.youtube.com/watch?v=6_c_PIddYaw,Me at my home 🏠 vs Relatives home🏡😂😂#trending #funny #comedy #shorts,,2024-06-16T10:00:05Z,83887628,1153843,1993,1.38,1.38,0.0,60,N/A,general,none,general,0.25
YouTube,qMRJHaYZbbA,https://www.youtube.com/watch?v=qMRJHaYZbbA,A todo volumen 🔥 #shorts #tiktokvideo #humor #comedia #viral #peru #latina,,2024-03-03T18:20:56Z,71778989,2043112,11260,2.86,2.85,0.02,20,N/A,general,none,general,0.0
YouTube,StffYPFu-q0,https://www.youtube.com/watch?v=StffYPFu-q0,Chameli Pakri Gayi 😡😭💔 #shorts #trendingshorts #comedy #funnyvideo #viral #meghachaube,,2023-03-09T13:49:01Z,64517815,1745960,0,2.71,2.71,0.0,29,N/A,general,none,general,0.0
YouTube,DCPW9j4eays,https://www.youtube.com/watch?v=DCPW9j4eays,Chocolate Barfi 🍫 #shorts,"Would you like to eat this?
The recipe is mentioned in the comment section 👇🏻

#chocolate #asmr #cooking #recipe #sweet",2025-01-23T11:30:07Z,64549753,1552765,2597,2.41,2.41,0.0,46,N/A,general,none,general,0.0
YouTube,1agv23C063A,https://www.youtube.com/watch?v=1agv23C063A,jajajajaja #shorts #alfredolarin,"GRACIAS POR VER EL VIDEO TE AGRADESCO GRANDEMENTE TU BONITO APOYO LOS QUIERO MUCHO A TODOS FAMILIA LARIN 

SUSCRIBANCE AL CANAL DE LA CHOL AQUI LES DEJO EL LINK SE DIVERTIRAN MUCHO https://www.youtube.com/channel/UCMOZ...

INSTAGRAM: https://www.instagram.com/alfredolarin/

GRACIAS A TODOS POR EL APOYO LOS QUIERO DEMASIADO SON LA MEJOR FAMILIA DEL MUNDO

LOS QUIERO DEMASIADO FAMILIA Y SERA HATA LA PROXIMA QUE NOS VOLVAMOS A VER",2022-06-03T04:15:00Z,59163226,1316048,4065,2.23,2.22,0.01,8,N/A,general,none,general,0.0
YouTube,gQ3Bf-ySxXo,https://www.youtube.com/watch?v=gQ3Bf-ySxXo,Packing School Lunch *SHE IS IN TROUBLE* #shorts,,2023-03-28T22:16:02Z,49649854,605498,23213,1.27,1.22,0.05,34,today for school lunch my daughter is in big trouble because she picked her nose and rubbed it on her teacher sweater and I'm so angry with her she's only going to get one noodle I was going to send her these fries but she's only going to get one on the side I was going to send her some beans but she's only going to get one and then I was going to send her this apple Jell-O to keep her nice and healthy but she's only going to get the little tiny Apple cut up inside the Jell-O and I hope it reminds her of the booger she put on her teacher and then I found this lollipop underneath my couch and I was going to send it to her but she only deserves a stick I hope you enjoyed today's video follow for more,general,none,general,-0.2
YouTube,p4S9UFHDsgM,https://www.youtube.com/watch?v=p4S9UFHDsgM,5 anos passou rápido (Piero Start CRESCEU!!) #shorts #shortsbrasil,5 anos passou muita rápido Piero Start cresceu!!!! Quem lembra desse episódio do RICO VS POBRE 2018? #shorts #trend #fy #video #viral,2023-11-03T21:24:07Z,50031073,0,0,0.0,0.0,0.0,10,N/A,general,none,general,0.0
YouTube,Zjz_G84TxJM,https://www.youtube.com/watch?v=Zjz_G84TxJM,Sport prank with girl! 😂 #shorts,Wait for it! 🤣,2021-09-24T08:00:20Z,47204831,462005,760,0.98,0.98,0.0,15,N/A,general,none,general,0.0
YouTube,mpLepiO9lgc,https://www.youtube.com/watch?v=mpLepiO9lgc,The End 😂😂 |Indian family #shorts #indian #chotabhai #school,"The End 😂😂 |Indian family #shorts #indian #chotabhai #school

Disclaimer: The content of this video is intended for entertainment purposes only. All jokes and comedic elements are not meant to offend or harm anyone. Viewer discretion is advised. Please remember to take the content in a light-hearted spirit and enjoy the humor!",2024-07-31T14:37:57Z,51232373,933714,958,1.82,1.82,0.0,41,N/A,general,none,general,0.0
YouTube,wkHd2KkdwpI,https://www.youtube.com/watch?v=wkHd2KkdwpI,SHEELA DIDI 🤣 #youtubeshorts #shortsbreak #takeabreak #shorts,,2024-03-12T04:02:29Z,48937226,671238,774,1.37,1.37,0.0,12,N/A,general,none,general,0.0
YouTube,ctGrBHoBhMI,https://www.youtube.com/watch?v=ctGrBHoBhMI,Antes Vs Ahora 💝😂 Maquillaje #humor #tiktokvideo #latina #comedia #funny #peru #fyp #shorts,,2025-02-23T00:51:35Z,54089377,1028646,3639,1.91,1.9,0.01,42,N/A,general,none,general,0.25
YouTube,CF_lgu6ZpnA,https://www.youtube.com/watch?v=CF_lgu6ZpnA,Advika ne Banaya Mummy Ka Pagal 😂 #shorts,,2024-09-08T03:02:41Z,61056562,0,522,0.0,0.0,0.0,17,N/A,general,none,general,0.0
YouTube,ZLNYFS6wCj4,https://www.youtube.com/watch?v=ZLNYFS6wCj4,Cuando eres muy traviesa 🙈🤣 #shorts #humor #tiktokvideo #latina #comedia #funny #fyp,,2025-05-23T02:58:22Z,74203722,1132761,3582,1.53,1.53,0.0,58,N/A,general,none,general,0.25
YouTube,OlXPV9t3Xs0,https://www.youtube.com/watch?v=OlXPV9t3Xs0,Asmr emojifood | @Sunny_EATING_ |sub💝 #youtube #koreanfood #반바지 #shorts #foodvideos #ytshorts,,2024-07-01T01:30:17Z,41873866,632492,2025,1.52,1.51,0.0,34,N/A,general,none,general,0.0
YouTube,YvsTkhjpkPg,https://www.youtube.com/watch?v=YvsTkhjpkPg,Siempre llevando cositas 🥹✨ #humor #tiktokvideo #latina #comedia #funny #fyp #shorts,,2025-02-21T04:54:06Z,48064940,1255871,4323,2.62,2.61,0.01,46,N/A,general,none,general,0.25
YouTube,Aq7mToAxIls,https://www.youtube.com/watch?v=Aq7mToAxIls,Kinder Joy 😋 Ki Demand 🥰 | Mini Vlog | #shorts #minivlog #vlog,Kinder Joy 😋 Ki Demand 🥰 | Mini Vlog | #shorts #minivlog #vlog,2025-05-21T10:37:36Z,61443198,895220,2579,1.46,1.46,0.0,66,N/A,general,none,general,0.8
YouTube,IZ6WU1CyMWQ,https://www.youtube.com/watch?v=IZ6WU1CyMWQ,COMIDA DE VERDADE vs. COMIDA DE GELATINA! #shorts,,2023-11-20T22:00:14Z,43100451,1304639,1324,3.03,3.03,0.0,35,N/A,general,none,general,0.0
YouTube,epiSMPqi-Ps,https://www.youtube.com/watch?v=epiSMPqi-Ps,BAGI BAGI PERMEN JELLY BUAH BUAHAN | AYAH MAKAN CABE BENERAN #shorts,#shortsvideo #sambilancuan,2023-12-14T01:34:44Z,41188187,523908,327,1.27,1.27,0.0,58,N/A,general,none,general,0.0
YouTube,gXfJR0Mwido,https://www.youtube.com/watch?v=gXfJR0Mwido,EP-5 - Singapore का खाना 💀! 🤣🤣 | Maa aur Munna | #Shorts | Shorts Break,"Go Check out https://www.faadu.shop and get yourself a #FAADU T-shirt right away! Singapore ka khana aakhir hai kaisa?

Main Channel : https://youtube.openinapp.co/take-a-break

Subscribe for more comedy Shorts🤣🤣- https://www.youtube.com/channel/UCgJ5_1F6yJhYLnyMszUdmUg
Subscribe to Shorts Break for Full Length comedy videos- https://www.youtube.com/channel/UCzIciQA6KlhGCZFByEo2wFQ
Follow us on Instagram- https://www.instagram.com/takeabreakindia/",2022-12-13T12:30:24Z,39282254,1275654,2327,3.25,3.25,0.01,42,N/A,general,none,general,0.0
YouTube,HaquPHV7PZ4,https://www.youtube.com/watch?v=HaquPHV7PZ4,abidzar pilih permen yang mana#shorts,,2023-05-27T04:11:55Z,40847525,349966,187,0.86,0.86,0.0,15,N/A,general,none,general,0.0
YouTube,HXtD29bBCZg,https://www.youtube.com/watch?v=HXtD29bBCZg,My bodyguard saved me from humiliation😭 #shorts,,2025-06-14T16:17:41Z,80425213,877295,2589,1.09,1.09,0.0,15,N/A,general,none,general,0.0
YouTube,eqSMIq-9Lxc,https://www.youtube.com/watch?v=eqSMIq-9Lxc,Tom 🍓 Jerry |Family Emotions🥰| #shorts #viral,"Tom 🍓 Jerry |Family Emotions🥰| #shorts #viral 


#ytshorts #youtubepartnerprogram #trending #viral #tomandjerry #tomandjerryshorts #short #familyemotions #emotional #motherslove #shorts #sentimental #brothers #love #caringsister #caring @v5familyshow @HarshaSaiForYou",2023-06-20T14:09:39Z,39718771,821243,0,2.07,2.07,0.0,60,N/A,general,none,general,0.0
YouTube,UXocDt3trWk,https://www.youtube.com/watch?v=UXocDt3trWk,Let’s all just ignore the first try 🤣🩷 #shorts,,2025-05-23T18:54:00Z,68499463,805684,3285,1.18,1.18,0.0,46,N/A,general,none,general,0.25
YouTube,WCJeDzo8wt0,https://www.youtube.com/watch?v=WCJeDzo8wt0,Mama Ke Ghar 😂 | Maa aur Munna | #shorts | Shorts Break,"Bas sahi motivation chahiye tha.

Follow us on ⚡-
Instagram- https://instagram.com/shortsbreak?
Facebook- https://www.facebook.com/ShortsBreakIndia?

-----------------------------------------------------------
Our Other Channels- 

Square Cut music -
https://www.youtube.com/@SquareCut

Mad For Fun - 
https://youtube.com/@Madforfunofficial

Kay Vishay  -
https://www.youtube.com/@kayvishay

Wait For it  -
https://www.youtube.com/@WaitForIt_Official

Take A Break - 
https://www.youtube.com/@TakeABreakOfficial",2025-03-27T03:30:21Z,55959684,1648110,2324,2.95,2.95,0.0,60,N/A,general,none,general,0.0
YouTube,1GDkjZm6coU,https://www.youtube.com/watch?v=1GDkjZm6coU,Heart-touching Cute Kitten Dance 🐾 #shorts #kittenrescue #animalrescue #kittenrevenge,#tamilsongs #indiansongs #arrahman,2025-02-23T01:48:56Z,68945979,702809,1846,1.02,1.02,0.0,10,N/A,general,none,general,0.5
YouTube,c22wAoCLduI,https://www.youtube.com/watch?v=c22wAoCLduI,Hà Sam Trừng Trị Tên Xấu Xa Cướp Bóng Bay #shorts,Hà Sam Trừng Trị Tên Xấu Xa Cướp Bóng Bay,2024-07-14T08:49:42Z,40524969,421177,779,1.04,1.04,0.0,60,N/A,general,none,general,0.0
